date,cum_var,var_pc1,mean_cos_sim,min_cos_sim,r_squared,var_slope_change
2005-10-06,0.7384929829669793,0.4278330009422423,0.9998034451867511,0.9997040123891603,0.7803012942084088,0.0016733720121701046
2005-10-07,0.7384929829669793,0.4278330009422423,0.9998034451867511,0.9997040123891603,0.7789381484923625,0.0013959435893430294
2005-10-10,0.7384929829669793,0.4278330009422423,0.9998034451867511,0.9997040123891603,0.7782613183935853,0.0014137676128525567
2005-10-11,0.7384929829669793,0.4278330009422423,0.9998034451867511,0.9997040123891603,0.7774444606631861,0.0013959435893430294
2005-10-12,0.7378110348891874,0.42782122014346047,0.9998034451867511,0.9997040123891603,0.7773860793287285,0.0014137676128525567
2005-10-13,0.737725727680943,0.42722078844018524,0.9998034451867511,0.9997040123891603,0.7770982723142756,0.001431591636362084
2005-10-14,0.7366348197794943,0.4239854165521313,0.9998014085035689,0.9996958265000941,0.77570036962368,0.0016911960356796318
2005-10-17,0.7360116495419733,0.4238984177180207,0.9998014085035689,0.9996958265000941,0.77570036962368,0.0019508004349971797
2005-10-18,0.7359915999451665,0.42343357753432415,0.9997782995058809,0.999692892329674,0.7756875404363435,0.0020192492032703457
2005-10-19,0.7358159725591055,0.42316067799405827,0.9997782995058809,0.999692892329674,0.7753051999244327,0.0020876979715435118
2005-10-20,0.7356777061296086,0.42316067799405827,0.9997782995058809,0.9996396352081556,0.7753051999244327,0.0021349354686868716
2005-10-21,0.7355731922450031,0.42316067799405827,0.9997782995058809,0.9996396352081556,0.7741055244577206,0.0021821729658302313
2005-10-24,0.7349267298690321,0.42316067799405827,0.9997874759773189,0.999692892329674,0.7734318124356055,0.0021979555216404822
2005-10-25,0.7344124105230552,0.42316067799405827,0.9998014085035689,0.9996958265000941,0.7704533544929355,0.0030822708102177243
2005-10-26,0.7341324570278386,0.42316067799405827,0.9998014085035689,0.999692892329674,0.7703938935094958,0.003728625081410031
2005-10-27,0.7341324570278386,0.42316067799405827,0.9997874759773189,0.9996396352081556,0.7686880974833306,0.0038063289940168943
2005-10-28,0.7341324570278386,0.42316067799405827,0.9998001759031094,0.999692892329674,0.7681794772228914,0.0038063289940168943
2005-10-31,0.7341324570278386,0.42343357753432415,0.9998014085035689,0.9997086575742268,0.7678901181051161,0.0038063289940168943
2005-11-01,0.7341324570278386,0.4238984177180207,0.9998014085035689,0.9997086575742268,0.7674348032745871,0.0038063289940168943
2005-11-02,0.7341324570278386,0.4239854165521313,0.9998014085035689,0.9997086575742268,0.7672420617184236,0.0038063289940168943
2005-11-03,0.7341324570278386,0.4244419297664693,0.9998141422571057,0.9997105549576437,0.7668857387201674,0.0038063289940168943
2005-11-04,0.7341324570278386,0.4251559729874615,0.9998522935155143,0.999754794655539,0.766253325772355,0.0038063289940168943
2005-11-07,0.7341324570278386,0.4274297582479258,0.9998141422571057,0.9997105549576437,0.7651656047859463,0.0038063289940168943
2005-11-08,0.7339193986869261,0.4274817835627595,0.9998001759031094,0.9997086575742268,0.763780775194855,0.0038063289940168943
2005-11-09,0.7338999620814377,0.4307517659938396,0.9997994037520636,0.9996751384248843,0.7632627979929985,0.0038063289940168943
2005-11-10,0.7338999620814377,0.43424035732918215,0.9998001759031094,0.9997086575742268,0.7628917694918894,0.0038063289940168943
2005-11-11,0.7339193986869261,0.43495700195549497,0.9998522935155143,0.9997486282277348,0.762077663354037,0.0014970626151984412
2005-11-14,0.7338999620814377,0.4355069013485655,0.9998598404282775,0.999754794655539,0.7578759536880564,0.0010796591495219054
2005-11-15,0.7338999620814377,0.4361121151500985,0.9998522935155143,0.9997486282277348,0.7573313044891288,0.001067162499552965
2005-11-16,0.7338999620814377,0.4361121151500985,0.9998522935155143,0.9997486282277348,0.7569934902543487,0.001067162499552965
2005-11-17,0.7340409397505226,0.4361121151500985,0.9998001759031094,0.9997086575742268,0.7569934902543487,0.001067162499552965
2005-11-18,0.7342328631773309,0.4361121151500985,0.9998001759031094,0.9997086575742268,0.7558516794663135,0.001067162499552965
2005-11-21,0.7351042904019411,0.4361121151500985,0.9998001759031094,0.9997086575742268,0.7503521056159699,0.001067162499552965
2005-11-22,0.7358595307333113,0.4361121151500985,0.9997994037520636,0.9996751384248843,0.7494046010725225,0.001067162499552965
2005-11-23,0.7358595307333113,0.4361121151500985,0.9997994037520636,0.9996751384248843,0.749271028877264,0.001067162499552965
2005-11-24,0.7358595307333113,0.4361121151500985,0.9998001759031094,0.9997086575742268,0.7473111047006369,0.0010438489107480464
2005-11-25,0.7358595307333113,0.4361121151500985,0.9998001759031094,0.9997086575742268,0.7473111047006369,0.0009722234374721639
2005-11-28,0.7353767584885024,0.4359454816249587,0.9998522935155143,0.9997486282277348,0.7473111047006369,0.0010438489107480464
